Title,Date,view_count,like_count,comment_count,url
ملخص مباراة | الهلال السوداني 0-1 الأهلي | ربع النهائي | دوري ابطال افريقيا 2024/2025 #ريلز #الاهلي,2025-04-01,32899,284,2,https://youtu.be/bKXq3ei7sBQ
ليفربول × ايفرتون | يا ريت التوقف ما خلص علشان الماتش ده ، مؤتمر سلوت والاصابات والتشكيل والتوقعات !,2025-04-01,32737,1928,77,https://youtu.be/B69CmahiwSM
جميع اهداف عمر مرموش مع مانشيستر سيتي لحد الان | تعليق عربي🎤,2025-04-01,31133,0,34,https://youtu.be/rD3ZKHE4oG8
التحليل الكامل | مان يونايتد 1-0 نوتنجهام فورست | ارسنال 2-1 فولهام | الدوري الانجليزي | تريكة,2025-04-01,29736,416,10,https://youtu.be/OCmk4ixDUfI
"الحالات التحكيمية في مباراة ""الاهلي vs الهلال السوداني1_0"" ايقاف الحكم من الكاف وضربة الجزاء والطرد!",2025-04-01,24752,520,25,https://youtu.be/FeObo34gO7Y
افضل 4 اهداف للزمالك أمام الأهلي اهداف مدمرة😈🔥#الاهلي #الزمالك #football #كرة_القدم #shorts,2025-04-01,17326,294,1,https://youtu.be/nCpE6s_E_cA
القنوات الناقلة مباراة الاهلي والهلال اليوم في دوري ابطال افريقيا,2025-04-01,16843,102,2,https://youtu.be/CWV7Q6Q7S3I
ملخص مباراة بيراميدز المصري و الجيش الملكي المغربي دوري أبطال إفريقيا,2025-04-01,15960,141,45,https://youtu.be/80uTabJw7qk
موعد مباراة نهائي كاس ملك اسبانيا 2025 والقنوات الناقلة,2025-04-01,12433,213,4,https://youtu.be/lDzaYbpFnUw
بث مباشر مباراة الأهلي و الهلال اليوم في دوري أبطال أفريقيا 2025 بث مباشر مباريات اليوم,2025-04-01,12379,125,0,https://youtu.be/Jd7k-tELXfE
عمرو الدرديري الزمالك مستهدف وعاوزين يحرموه من دوري الأبطال ونفضل في الكونفيدرالية #الاهلي#الزمالك,2025-04-01,11494,53,51,https://youtu.be/Eu8iQTdv_9Q
هدف محمد هاني العالمي 🔥🚀 #الاهلي والهلال السوداني #دوري_ابطال_افريقيا,2025-04-01,10477,122,18,https://youtu.be/dtWPXZPTmLk
موعد مباراة الاهلي والهلال السوداني في دوري ابطال إفريقيا,2025-04-01,10034,69,0,https://youtu.be/gfUyBTf00h4
شاهد القنوات الناقلة مباراة الأهلي ضد الهلال ذهاب ربع النهائي دوري أبطال أفريقيا,2025-04-01,9207,86,3,https://youtu.be/xWjy0TMJv-o
مارسل كولر يحفز #جماهير_الاهلي والجمهور يرد بالدم بالروح افريقيا مش هتروح #الاهلي_الهلال_السوداني,2025-04-01,8995,66,1,https://youtu.be/oGJZ2tEkIyE
